name,label,r2,mae,corr
"Stacked: Resting and Task FC, eNet+RF",eNet_rf_set8,0.232,0.708,0.496
"Stacked: All, eNet+SVR",eNet_svr_set1,0.350,0.643,0.604
"Stacked: Task Contrast, eNet+SVR",eNet_svr_set2,0.296,0.663,0.564
"Stacked: Non Task, eNet+SVR",eNet_svr_set3,0.086,0.771,0.339
"Stacked: Task FC, eNet+SVR",eNet_svr_set4,0.242,0.699,0.506
"Stacked: Task Contrast & Task FC, eNet+SVR",eNet_svr_set5,0.351,0.638,0.603
"Stacked: All excluding Task FC, eNet+SVR",eNet_svr_set6,0.317,0.659,0.576
"Stacked: All excluding Task Contrast, eNet+SVR",eNet_svr_set7,0.230,0.706,0.495
"Stacked: Resting and Task FC, eNet+SVR",eNet_svr_set8,0.234,0.703,0.499
"Stacked: All, eNet+XGB",eNet_xgb_set1,0.339,0.652,0.596
"Stacked: Task Contrast, eNet+XGB",eNet_xgb_set2,0.278,0.678,0.547
"Stacked: Non Task, eNet+XGB",eNet_xgb_set3,0.104,0.766,0.353
"Stacked: Task FC, eNet+XGB",eNet_xgb_set4,0.237,0.703,0.502
"Stacked: Task Contrast & Task FC, eNet+XGB",eNet_xgb_set5,0.331,0.651,0.590
"Stacked: All excluding Task FC, eNet+XGB",eNet_xgb_set6,0.294,0.672,0.560
"Stacked: All excluding Task Contrast, eNet+XGB",eNet_xgb_set7,0.233,0.708,0.500
"Stacked: Resting and Task FC, eNet+XGB",eNet_xgb_set8,0.236,0.706,0.501
"Stacked: All, RF+eNet",rf_eNet_set1,0.186,0.733,0.559
"Stacked: Task Contrast, RF+eNet",rf_eNet_set2,0.221,0.718,0.557
"Stacked: Non Task, RF+eNet",rf_eNet_set3,0.090,0.774,0.328
"Stacked: Task FC, RF+eNet",rf_eNet_set4,0.156,0.743,0.444
"Stacked: Task Contrast & Task FC, RF+eNet",rf_eNet_set5,0.204,0.724,0.563
"Stacked: All excluding Task FC, RF+eNet",rf_eNet_set6,0.189,0.733,0.564
"Stacked: All excluding Task Contrast, RF+eNet",rf_eNet_set7,0.144,0.750,0.453
"Stacked: Resting and Task FC, RF+eNet",rf_eNet_set8,0.149,0.746,0.442
"Stacked: All, RF+RF",rf_rf_set1,0.173,0.738,0.509
"Stacked: Task Contrast, RF+RF",rf_rf_set2,0.207,0.723,0.532
"Stacked: Non Task, RF+RF",rf_rf_set3,0.080,0.778,0.305
"Stacked: Task FC, RF+RF",rf_rf_set4,0.168,0.736,0.450
"Stacked: Task Contrast & Task FC, RF+RF",rf_rf_set5,0.193,0.728,0.530
"Stacked: All excluding Task FC, RF+RF",rf_rf_set6,0.170,0.741,0.515
"Stacked: All excluding Task Contrast, RF+RF",rf_rf_set7,0.147,0.748,0.437
"Stacked: Resting and Task FC, RF+RF",rf_rf_set8,0.148,0.746,0.429
"Stacked: All, RF+SVR",rf_svr_set1,0.180,0.736,0.550
"Stacked: Task Contrast, RF+SVR",rf_svr_set2,0.206,0.722,0.529
"Stacked: Non Task, RF+SVR",rf_svr_set3,0.092,0.771,0.327
"Stacked: Task FC, RF+SVR",rf_svr_set4,0.161,0.740,0.446
"Stacked: Task Contrast & Task FC, RF+SVR",rf_svr_set5,0.195,0.726,0.548
"Stacked: All excluding Task FC, RF+SVR",rf_svr_set6,0.175,0.738,0.529
"Stacked: All excluding Task Contrast, RF+SVR",rf_svr_set7,0.146,0.749,0.447
"Stacked: Resting and Task FC, RF+SVR",rf_svr_set8,0.148,0.745,0.438
"Stacked: All, RF+XGB",rf_xgb_set1,0.154,0.750,0.490
"Stacked: Task Contrast, RF+XGB",rf_xgb_set2,0.186,0.735,0.500
"Stacked: Non Task, RF+XGB",rf_xgb_set3,0.076,0.779,0.298
"Stacked: Task FC, RF+XGB",rf_xgb_set4,0.172,0.735,0.455
"Stacked: Task Contrast & Task FC, RF+XGB",rf_xgb_set5,0.185,0.734,0.522
"Stacked: All excluding Task FC, RF+XGB",rf_xgb_set6,0.147,0.753,0.475
"Stacked: All excluding Task Contrast, RF+XGB",rf_xgb_set7,0.136,0.756,0.421
"Stacked: Resting and Task FC, RF+XGB",rf_xgb_set8,0.140,0.749,0.419
"Stacked: All, SVR+eNet",svr_eNet_set1,0.189,0.733,0.455
"Stacked: Task Contrast, SVR+eNet",svr_eNet_set2,0.144,0.757,0.397
"Stacked: Non Task, SVR+eNet",svr_eNet_set3,0.066,0.777,0.334
"Stacked: Task FC, SVR+eNet",svr_eNet_set4,0.200,0.717,0.481
"Stacked: Task Contrast & Task FC, SVR+eNet",svr_eNet_set5,0.191,0.731,0.450
"Stacked: All excluding Task FC, SVR+eNet",svr_eNet_set6,0.160,0.749,0.427
"Stacked: All excluding Task Contrast, SVR+eNet",svr_eNet_set7,0.205,0.715,0.471
"Stacked: Resting and Task FC, SVR+eNet",svr_eNet_set8,0.188,0.722,0.467
"Stacked: All, SVR+RF",svr_rf_set1,0.174,0.737,0.434
"Stacked: Task Contrast, SVR+RF",svr_rf_set2,0.103,0.769,0.330
"Stacked: Non Task, SVR+RF",svr_rf_set3,-0.013,0.805,0.314
"Stacked: Task FC, SVR+RF",svr_rf_set4,0.139,0.745,0.474
"Stacked: Task Contrast & Task FC, SVR+RF",svr_rf_set5,0.170,0.738,0.426
"Stacked: All excluding Task FC, SVR+RF",svr_rf_set6,0.109,0.766,0.343
"Stacked: All excluding Task Contrast, SVR+RF",svr_rf_set7,0.172,0.733,0.471
"Stacked: Resting and Task FC, SVR+RF",svr_rf_set8,0.131,0.749,0.464
"Stacked: All, SVR+SVR",svr_svr_set1,0.142,0.754,0.401
"Stacked: Task Contrast, SVR+SVR",svr_svr_set2,0.114,0.764,0.352
"Stacked: Non Task, SVR+SVR",svr_svr_set3,0.030,0.788,0.316
"Stacked: Task FC, SVR+SVR",svr_svr_set4,0.122,0.748,0.466
"Stacked: Task Contrast & Task FC, SVR+SVR",svr_svr_set5,0.155,0.748,0.412
"Stacked: All excluding Task FC, SVR+SVR",svr_svr_set6,0.122,0.762,0.370
"Stacked: All excluding Task Contrast, SVR+SVR",svr_svr_set7,0.177,0.726,0.448
"Stacked: Resting and Task FC, SVR+SVR",svr_svr_set8,0.118,0.751,0.457
"Stacked: All, SVR+XGB",svr_xgb_set1,0.148,0.753,0.403
"Stacked: Task Contrast, SVR+XGB",svr_xgb_set2,0.093,0.774,0.324
"Stacked: Non Task, SVR+XGB",svr_xgb_set3,-0.019,0.805,0.303
"Stacked: Task FC, SVR+XGB",svr_xgb_set4,0.117,0.756,0.465
"Stacked: Task Contrast & Task FC, SVR+XGB",svr_xgb_set5,0.143,0.754,0.397
"Stacked: All excluding Task FC, SVR+XGB",svr_xgb_set6,0.108,0.769,0.341
"Stacked: All excluding Task Contrast, SVR+XGB",svr_xgb_set7,0.149,0.744,0.455
"Stacked: Resting and Task FC, SVR+XGB",svr_xgb_set8,0.107,0.760,0.450
"Stacked: All, XGB+eNet",xgb_eNet_set1,0.191,0.728,0.512
"Stacked: Task Contrast, XGB+eNet",xgb_eNet_set2,0.188,0.735,0.460
"Stacked: Non Task, XGB+eNet",xgb_eNet_set3,0.043,0.788,0.265
"Stacked: Task FC, XGB+eNet",xgb_eNet_set4,0.154,0.744,0.419
"Stacked: Task Contrast & Task FC, XGB+eNet",xgb_eNet_set5,0.204,0.722,0.516
"Stacked: All excluding Task FC, XGB+eNet",xgb_eNet_set6,0.167,0.742,0.459
"Stacked: All excluding Task Contrast, XGB+eNet",xgb_eNet_set7,0.156,0.743,0.436
"Stacked: Resting and Task FC, XGB+eNet",xgb_eNet_set8,0.157,0.741,0.429
"Stacked: All, XGB+RF",xgb_rf_set1,0.101,0.767,0.370
"Stacked: Task Contrast, XGB+RF",xgb_rf_set2,0.143,0.752,0.398
"Stacked: Non Task, XGB+RF",xgb_rf_set3,0.003,0.806,0.232
"Stacked: Task FC, XGB+RF",xgb_rf_set4,0.113,0.759,0.371
"Stacked: Task Contrast & Task FC, XGB+RF",xgb_rf_set5,0.142,0.749,0.418
"Stacked: All excluding Task FC, XGB+RF",xgb_rf_set6,0.043,0.790,0.288
"Stacked: All excluding Task Contrast, XGB+RF",xgb_rf_set7,0.083,0.774,0.331
"Stacked: Resting and Task FC, XGB+RF",xgb_rf_set8,0.084,0.767,0.338
"Stacked: All, XGB+SVR",xgb_svr_set1,0.128,0.754,0.399
"Stacked: Task Contrast, XGB+SVR",xgb_svr_set2,0.161,0.743,0.422
"Stacked: Non Task, XGB+SVR",xgb_svr_set3,0.013,0.802,0.236
"Stacked: Task FC, XGB+SVR",xgb_svr_set4,0.115,0.761,0.367
"Stacked: Task Contrast & Task FC, XGB+SVR",xgb_svr_set5,0.156,0.743,0.436
"Stacked: All excluding Task FC, XGB+SVR",xgb_svr_set6,0.107,0.764,0.360
"Stacked: All excluding Task Contrast, XGB+SVR",xgb_svr_set7,0.097,0.767,0.339
"Stacked: Resting and Task FC, XGB+SVR",xgb_svr_set8,0.101,0.765,0.349
"Stacked: All, XGB+XGB",xgb_xgb_set1,0.108,0.763,0.365
"Stacked: Task Contrast, XGB+XGB",xgb_xgb_set2,0.147,0.751,0.403
"Stacked: Non Task, XGB+XGB",xgb_xgb_set3,0.005,0.807,0.229
"Stacked: Task FC, XGB+XGB",xgb_xgb_set4,0.113,0.762,0.361
"Stacked: Task Contrast & Task FC, XGB+XGB",xgb_xgb_set5,0.145,0.749,0.418
"Stacked: All excluding Task FC, XGB+XGB",xgb_xgb_set6,0.079,0.777,0.324
"Stacked: All excluding Task Contrast, XGB+XGB",xgb_xgb_set7,0.093,0.770,0.332
"Stacked: Resting and Task FC, XGB+XGB",xgb_xgb_set8,0.094,0.766,0.337
